STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/4/1998,0,0,0,85,101,68
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/5/1998,0,0,0,86,105,67
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/6/1998,0,0,0,87,107,66
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/7/1998,0,0,0,92,108,75
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/8/1998,0,0,0,97,110,83
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/9/1998,0,0,0,98,111,84
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/10/1998,0,0,0,101,116,86
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/11/1998,0,0,0,104,119,88
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/12/1998,0,0,0,90,109,71
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/13/1998,0,0,0,88,111,65
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/14/1998,0,0,0,88,113,62
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/15/1998,0,0,0,101,118,83
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/16/1998,0,0,0,97,118,75
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/17/1998,0,0,0,95,112,78
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/18/1998,0,0,0,99,114,84
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/19/1998,0,0,0,95,103,86
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/20/1998,0,0,0,91,101,81
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/21/1998,0,0,0,89,98,80
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/22/1998,0,0,0,93,105,80
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/23/1998,0,0,0,90,103,76
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/24/1998,0,0,0,92,105,79
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/25/1998,0,0,0,90,110,69
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/26/1998,0,0,0,95,120,70
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/27/1998,0,0,0,100,123,76
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/28/1998,0,0,0,95,110,79
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/29/1998,0,0,0,94,108,79
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/30/1998,0,0,0,87,111,63
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/31/1998,0,0,0,85,108,61
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/1/1998,0,0,0,86,107,64
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/2/1998,0,0,0,91,113,68
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/3/1998,0,0,0,97,120,73
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/4/1998,0,0,0,96,115,76
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/5/1998,0,0,0,91,111,70
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/6/1998,0,0,0,92,106,78
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/7/1998,0,0,0,92,108,75
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/8/1998,0,0,0,90,103,76
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/9/1998,0.08,0,0,84,90,77
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/10/1998,0.06,0,0,92,107,76
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/11/1998,0,0,0,94,109,79
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/12/1998,0,0,0,96,110,82
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/13/1998,0.38,0,0,93,107,78
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/14/1998,0,0,0,92,103,80
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/15/1998,0,0,0,92,108,76
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/16/1998,0,0,0,95,109,81
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/17/1998,0,0,0,89,106,72
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/18/1998,0,0,0,84,103,64
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/19/1998,0,0,0,84,105,62
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/20/1998,0,0,0,88,108,68
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/21/1998,0,0,0,93,113,72
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/22/1998,0,0,0,99,116,82
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/23/1998,0,0,0,94,112,75
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/24/1998,0,0,0,94,106,82
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/25/1998,0,0,0,90,106,74
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/26/1998,0,0,0,89,108,69
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/27/1998,0,0,0,98,113,83
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/28/1998,0,0,0,97,119,75
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/29/1998,0,0,0,97,112,82
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/30/1998,0,0,0,97,113,80
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",8/31/1998,0.01,0,0,98,110,85
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/1/1998,0,0,0,91,108,74
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/2/1998,0,0,0,95,110,79
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/3/1998,0,0,0,97,110,83
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/4/1998,0,0,0,88,98,77
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/5/1998,0,0,0,87,101,72
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/6/1998,0,0,0,91,109,73
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/7/1998,0,0,0,93,109,76
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/8/1998,0,0,0,94,106,81
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/9/1998,0,0,0,88,104,72
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/10/1998,0,0,0,86,102,69
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/11/1998,0,0,0,86,103,68
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/12/1998,0,0,0,84,105,63
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/13/1998,0,0,0,90,106,74
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/14/1998,0,0,0,91,108,73
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/15/1998,0,0,0,93,110,76
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/16/1998,0,0,0,91,108,73
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/17/1998,0,0,0,89,108,70
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/18/1998,0,0,0,84,109,58
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/19/1998,0,0,0,89,103,75
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/20/1998,0,0,0,83,94,72
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/21/1998,0,0,0,81,92,70
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/22/1998,0,0,0,81,94,68
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",9/23/1998,0,0,0,81,92,69
