"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-03","0.00","114","80"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-04","0.00","107","83"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-05","0.00","104","85"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-06","0.20","91","71"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-07","0.00","94","71"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-08","0.00","97","68"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-09","0.00","98","65"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-10","0.00","98","69"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-11","0.00","95","72"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-12","0.00","97","63"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-13","0.00","98","70"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-14","0.00","98","68"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-15","0.00","96","71"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-16","0.00","93","67"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-17","0.00","96","67"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-18","0.00","91","68"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-19","0.00","93","67"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-20","0.00","97","57"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-21","0.00","94","61"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-22","0.00","93","61"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-23","0.00","102","65"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-24","0.00","103","65"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-25","0.00","99","76"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-26","0.00","99","64"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-27","0.00","99","59"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-28","0.00","98","59"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-29","0.00","97","56"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-30","0.00","91","65"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-01","0.00","89","62"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-02","0.00","94","49"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-03","0.00","97","50"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-04","0.00","102","57"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-05","0.00","100","55"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-06","0.00","100","56"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-07","0.00","104","61"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-08","0.00","103","61"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-09","0.00","103","64"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-10","0.00","103","64"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-11","0.00","107","62"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-12","0.00","110","63"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-13","0.00","107","63"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-14","0.00","96","68"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-15","0.00","98","59"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-16","0.00","98","58"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-17","0.00","98","66"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-18","0.00","97","54"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-19","0.00","97","57"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-20","0.00","96","54"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-21","0.00","96","54"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-22","0.00","91","60"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-23","0.00","90","59"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-24","0.00","91","58"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-25","0.00","88","64"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-26","0.00","86","61"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-27","0.00","90","62"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-28","0.00","90","58"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-29","0.00","91","51"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-30","0.00","88","54"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-10-31","0.00","90","64"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-01","0.00","95","59"
